Plik,Provider,Model,Protocol,Architecture,Temperature,Tokens/Turn,Total Flips,Distinct-1,Semantic Diversity,Final Answer
debate_20260530_172004.json,groq,llama-3.1-8b-instant,consensus,round_robin,0.5,300.0,2,0.1581,0.3064,"""Zalecamy utworzenie systemu ""znakowania"" receptur autentycznych, wspieranego przez organizacje taki..."
debate_20260530_172212.json,groq,llama-3.1-8b-instant,consensus,round_robin,0.5,300.0,2,0.1599,0.3066,"""Uznajmy, że różnorodność kulinarna jest bogactwem Europy, i zalecamy wspieranie i promowanie tradyc..."
debate_20260530_172328.json,groq,llama-3.1-8b-instant,consensus,relay,0.5,300.0,1,0.3033,0.2537,"""Zalecamy wprowadzenie systemu ""certyfikacji dziedzictwa"" dla tradycyjnych receptur, takich jak pizz..."
debate_20260530_172459.json,groq,llama-3.1-8b-instant,consensus,relay,0.5,300.0,0,0.2612,0.2081,"""Uznajemy, że tradycyjne receptury kulinarnych, takie jak pizza, powinny być wspierane i chronione, ..."
debate_20260530_172642.json,groq,llama-3.1-8b-instant,consensus,round_robin,0.5,300.0,0,0.1749,0.3001,"Zdajemy sobie sprawę, że kwestia serwowania ananasu na pizzę jest sprawą złożoną i wymagającą szacun..."
debate_20260530_172836.json,groq,llama-3.1-8b-instant,consensus,round_robin,0.5,300.0,1,0.1005,0.1851,"""Uznajemy, że kulinarne dziedzictwo Europy jest dynamicznym i ewolucyjnym pojęciem, które powinno by..."
debate_20260530_172958.json,groq,llama-3.1-8b-instant,consensus,relay,0.5,300.0,1,0.2332,0.2955,"Kultura i tradycje kulinarne powinny być szanowane i chronione, ale nie w sposób, który uniemożliwia..."
debate_20260530_173130.json,groq,llama-3.1-8b-instant,consensus,relay,0.5,300.0,0,0.2303,0.2383,"Wspólnym stanowiskiem wszystkich agentów powinno być to, że Europa powinna promować i wspierać ochro..."
debate_20260530_174049.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,round_robin,0.5,272.2,0,0.3359,0.24,Wszystkie agenty w tej debacie muszą podzielić się zgodą na zachowaniu tradycji piwa wraz z użyciem ...
debate_20260530_174548.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,round_robin,0.5,226.5,0,0.3452,0.1995,"Wszystkie agenty w tej debacie podpisują się na tym, że zachowanie tradycji i promowanie nowych pomy..."
debate_20260530_175415.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,relay,0.5,220.2,1,0.358,0.2852,"Ponieważ piña colada jest dodatkowe składnik z naturalnych frutów tropikalnych, nie jestem w stanie ..."
debate_20260530_180312.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,relay,0.5,296.8,2,0.3518,0.3924,"Dodawanie pineapple do pizza może być atrakcyjным pomysłem, ale ważne jest zachowanie tradycji kulin..."
debate_20260530_180857.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,round_robin,0.5,227.7,0,0.3533,0.232,Czytając论证，我们可以得出以下共识：在尊重传统烹饪方法和核心食材的基础上，鼓励创新和融合是保持我们文化饮食遗产活力的关键。通过教育公众了解这些变化背后的历史和原因，以及维护基础元素（如新鲜食材...
debate_20260530_181729.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,round_robin,0.5,296.5,0,0.3131,0.1882,"Wszystkie agenty, od kulinarnych zawodników i kulinarnych organizacji, do polityków i naukowców, mus..."
debate_20260530_182422.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,relay,0.5,193.0,0,0.389,0.2339,"Czyżby non-sense nie było! Wszyscy zrozumialiśmy, że oba kierunki - edukacja i integracja - są klucz..."
debate_20260530_183244.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,relay,0.5,276.7,0,0.3594,0.3261,"Wszystkie agenty w tej debacie powinni uniknąć konfliktu i zrozumieć, że zachowanie się na tyle opor..."
debate_20260530_184511.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,round_robin,0.5,201.8,0,0.1056,0.1525,"Aktualne stanowisko:  ""Aktualne stanowisko: Niezależne agenci mają wspólną opinię na temat przekazyw..."
debate_20260530_185533.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,round_robin,0.5,142.0,0,0.1091,0.0377,"Nie ma żadnego argumentu, który wyklucza zanieczyszczenie europejskiej kuchni przez pineapple na piz..."
debate_20260530_190629.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,relay,0.5,166.8,0,0.1243,0.0298,"Based on the given text material, the debate on whether serving pineapple on pizza violates European..."
debate_20260530_192021.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,relay,0.5,238.3,0,0.1063,0.0906,"Nie zalecamy serdecznie wyrażenia tej opinii, ponieważ nie ma żadnego zalecenia, aby to było akcepto..."
debate_20260530_193554.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,round_robin,0.5,190.3,0,0.1066,0.0603,Temat: Niektóre ustawy Europejskiej Unii są w stanie zagrażać zdrowiu ludności Europy.  Aktualne sta...
debate_20260530_212619.json,local,Qwen/Qwen2.5-1.5B-Instruct,consensus,round_robin,0.5,39.8,0,0.5312,0.271,"Pro_Ban i Anti_Ban powinni porozmawiać o tym razem. Może być lepiej, jeśli zapewniamy sobie, że każd..."
debate_20260530_213553.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,round_robin,0.5,188.7,0,0.1234,0.049,"Nie ma żadnego powodu, aby zablokować serwowanie piniary na pizzeria. Jeśli piniary są jednym z czyn..."
debate_20260530_214404.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,relay,0.5,178.5,0,0.1566,0.0851,Dlaczego pineapple nie jest tradycyjnym składnikiem sztuki włoskiej?  Pineapple jest tradycyjnym skł...
debate_20260530_215402.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,relay,0.5,267.8,1,0.0826,0.1707,"Nie ma żadnego argumentu, aby uznać, czy servowanie pineapple na pizzie zniszczyć wczesną europejską..."
debate_20260530_220124.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,round_robin,0.5,139.8,0,0.1685,0.1349,"Temat: Is pineapple on pizza bad?  Aktualne stanowisko: ""Nie ma potrzeby zmodyfikowania tekstu, poni..."
debate_20260530_220845.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,round_robin,0.5,251.8,0,0.0924,0.0937,"Nie chce pineapple na pizzerii. Tłumaczenie: Nie chce ban na pizzerii.  Aktualne stanowisko: ""Aktual..."
debate_20260530_221559.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,relay,0.5,117.7,2,0.1395,0.0611,"[Your Name] [Your Address] [City, State ZIP Code] [Your Email Address] [Your Phone Number] [Your Dat..."
debate_20260530_222349.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,relay,0.5,150.7,0,0.1821,0.0899,"Temat: Is pineapple on pizza bad?  Aktualne stanowisko: ""[Runda 3] Pro_Ban: No, pineapple on pizza i..."
debate_20260531_073056.json,local,speakleash/Bielik-1.5B-v3.0-Instruct,consensus,round_robin,0.5,300.0,1,0.1202,0.0973,"**Dodanie ananasa do pizzy może być wyrazem kreatywności, ale nie zagraża autentyczności włoskiego d..."
debate_20260531_171712.json,local,TinyLlama/TinyLlama-1.1B-Chat-v1.0,consensus,round_robin,0.3,100.0,0,0.0861,0.0318,"Następny stanowisko: ""[Runda 3] Speaker_1: [SYSTEM]: Speaker 1: Good morning, everyone. Today, we ar..."
